Date,daycount
10/03/2020,12
11/03/2020,12
12/03/2020,29
13/03/2020,32
14/03/2020,33
15/03/2020,27
16/03/2020,98
17/03/2020,79
18/03/2020,84
19/03/2020,142
20/03/2020,126
21/03/2020,124
22/03/2020,140
23/03/2020,257
24/03/2020,324
25/03/2020,364
26/03/2020,502
27/03/2020,568
28/03/2020,455
29/03/2020,419
30/03/2020,612
31/03/2020,598
01/04/2020,660
02/04/2020,540
03/04/2020,563
04/04/2020,605
05/04/2020,426
06/04/2020,431
07/04/2020,489
08/04/2020,578
09/04/2020,523
10/04/2020,525
11/04/2020,616
12/04/2020,499
13/04/2020,506
14/04/2020,645
15/04/2020,518
16/04/2020,602
17/04/2020,694
18/04/2020,479
19/04/2020,266
20/04/2020,395
21/04/2020,510
22/04/2020,946
23/04/2020,538
24/04/2020,449
25/04/2020,664
26/04/2020,399
27/04/2020,368
28/04/2020,367
29/04/2020,396
30/04/2020,271
01/05/2020,351
